# SentiWordNet Pt-BR v1.0b (13 Agosto 2017)
# Todos os direitos reservados.
#
# Link: https://github.com/Pedro-Thales/SentiWordNet-PT-BR
#
# Data format.
# 
# A primeira coluna corresponde ao ID baseado na identificação
# 	internacional baseada no WordNet 3.0.
# Os valores PosPont e NegPont são respectivamente a pontuação 
# 	positiva e negativa dos termos.
#
# A identação padrão utiliza tabulação entre as colunas.
#
#ID	PosScore	NegScore	Termo
00001740-a	0.125	0	capaz
00001740-n	0	0	ente
00001740-n	0	0	entidade
00001740-n	0	0	ser
00001740-r	0	0	a capela
00001740-v	0	0	bafejar
00001740-v	0	0	espirar
00001740-v	0	0	respirar
00001837-r	0	0	D.C
00001837-r	0	0	depois de Cristo
00001930-n	0	0	entidade física
00001981-r	0	0	EC
00001981-r	0	0	Era Comum
00002098-a	0	0.75	incapaz
00002137-n	0	0	abstração
00002137-n	0	0	entidade abstrata
00002137-n	0	0	idéia abstrata
00002142-r	0	0	antes de Cristo
00002296-r	0	0	AEC
00002296-r	0	0	antes da Era Comun
00002312-a	0	0	dorsal
00002452-n	0	0	coisa
00002621-r	0.125	0	dificilmente
00002621-r	0.125	0	logo que
00002621-r	0.125	0	quase não
00002684-n	0	0	objeto
00002684-n	0	0	objeto_físico
00002942-v	0	0.5	hiperventilar
00003093-r	0	0.25	apenas
00003093-r	0	0.25	dificilmente
00003133-v	0	0	hiperventilar
00003431-v	0	0	arrotar
00003483-r	0.5	0	basicamente
00003483-r	0.5	0	em essência
00003483-r	0.5	0	essencialmente
00003483-r	0.5	0	fundamentalmente
00003553-a	0	0	emergente
00003553-n	0	0	todo
00003553-n	0	0	unidade
00003826-v	0	0	soluçar
00003829-a	0.25	0	parturienta
00003829-a	0.25	0	parturiente
00003993-n	0	0	congênere
00004032-v	0	0	suspirar
00004171-a	0	0	moribundo
00004184-r	0	0.375	negativamente
00004227-v	0	0	axalar
00004227-v	0	0	expirar
00004258-n	0	0	organismo
00004258-n	0	0	ser
00004258-n	0	0	ser vivo
00004288-r	0	0.75	negativamente
00004394-r	0.5	0	amavelmente
00004394-r	0.5	0	naturalmente
00004413-a	0	0	abreviado
00004475-n	0	0	criatura
00004475-n	0	0	organismo
00004475-n	0	0	ser
00004475-n	0	0	ser_vivo
00004492-v	0	0	prender
00004492-v	0	0	segurar
00004605-v	0	0	emanar
00004722-r	0	0	apenas
00004722-r	0	0	meramente
00004722-r	0	0	simplesmente
00004722-r	0	0	somente
00004722-r	0	0	só
00004722-r	0	0	todavia
00004819-v	0	0	espirrar
00004967-r	0.75	0	singelamente
00005041-v	0	0	inalar
00005041-v	0	0	inspirar
00005055-r	0.375	0.375	simplesmente
00005205-a	0.5	0	absoluto
00005205-a	0.5	0	perfeito
00005343-r	0	0	possivelmente
00005526-v	0	0.125	bufar
00005526-v	0	0.125	ofegar
00005567-r	0.375	0	automaticamente
00005599-a	0.5	0.5	implícito
00005718-a	0.125	0	infinito
00005779-r	0.25	0	enormemente
00005779-r	0.25	0	imensamente
00005787-n	0	0	bentos
00005815-v	0	0	tossir
00005930-n	0	0.125	anão
00006024-n	0	0	Heterotrofismo
00006032-a	0.25	0.5	relativo
00006034-r	0	0.25	grosseiramente
00006034-r	0	0.25	indelicadamente
00006105-r	0	0	em grande parte
00006105-r	0	0	em maior número das ocasiões
00006105-r	0	0	maioritariamente
00006105-r	0	0	pela maior parte
00006150-n	0	0	pais
00006150-n	0	0	progenitor
00006238-v	0	0	cuspir
00006238-v	0	0	expectorar
00006245-a	0	0	relacional
00006259-r	0.5	0	notavelmente
00006259-r	0.5	0	significativamente
00006269-n	0	0	vida
00006336-a	0	0	absorvente
00006336-a	0	0	hidrófilo
00006400-n	0	0	bionte
00006400-n	0	0	protobionte
00006484-n	0	0	célula
00006697-v	0	0.5	respirar ruidosamente
00007012-v	0	0.375	assoprar
00007012-v	0	0.375	soprar
00007015-r	0.5	0.25	aproximadamente
00007015-r	0.5	0.25	cerca
00007015-r	0.5	0.25	cerca de
00007015-r	0.5	0.25	mais ou menos
00007193-v	0	0.25	insuflar
00007328-v	0	0.125	abrir a boca
00007328-v	0	0.125	bocejar
00007347-n	0	0	causador
00007488-r	0.5	0	deveras
00007516-a	0	0	esponjoso
00007703-r	0	0	em parte
00007703-r	0	0	parcialmente
00007739-v	0	0	pestanejar
00007739-v	0	0	piscar
00007846-n	0	0	alguém
00007846-n	0	0	indivíduo
00007846-n	0	0	pessoa
00007846-n	0	0	ser humano
00007990-a	0	0.5	resistente
00008007-r	0.5	0	ao todo
00008007-r	0.5	0	cabalmente
00008007-r	0.5	0	cem por cento
00008007-r	0.5	0	completamente
00008007-r	0.5	0	inteiramente
00008007-r	0.5	0	totalmente
00008299-v	0	0	piscar o olho
00008435-v	0	0	piscar de olhos
00008435-v	0	0	piscar os olhos
00008600-r	0.25	0.25	apenas
00008600-r	0.25	0.25	exclusivamente
00008600-r	0.25	0.25	exclusive
00008600-r	0.25	0.25	não mais que
00008600-r	0.25	0.25	somente
00008600-r	0.25	0.25	unicamente
00008602-v	0	0	olhar de soslaio
00008602-v	0	0	ser vesgo
00008602-v	0	0	vesguear
00008997-r	0.5	0	absolutamente
00008997-r	0.5	0	cem por cento
00008997-r	0.5	0	completamente
00008997-r	0.5	0	de cabo a rabo
00008997-r	0.5	0	inteiramente
00008997-r	0.5	0	totalmente
00009147-v	0	0	depenar
00009147-v	0	0	desplumar
00009147-v	0	0	mudar
00009147-v	0	0	trocar
00009492-v	0	0	descamar
00009492-v	0	0	descamar-se
00009618-a	0.5	0.25	ascético
00009631-v	0	0.125	saculejar
00009631-v	0	0.125	tremer
00009650-r	0.375	0.125	perfeitamente
00009884-v	0	0	fibrilar
00009966-r	0.125	0	faça favor
00009966-r	0.125	0	por favor
00009978-a	0	0	comilão
00009978-a	0	0	guloso
00010047-r	0	0.5	imperfeitamente
00010054-v	0	0	mover_involuntariamente
00010054-v	0	0	mover_reflexivamente
00010241-v	0	0	agir_involuntariamente
00010241-v	0	0	agir_reflexivamente
00010435-v	0	0	agir
00010435-v	0	0	atuar
00010435-v	0	0	comportar-se
00010435-v	0	0	fazer_papel
00010435-v	0	0	parecer
00010466-r	0	0	cheiamente
00010466-r	0	0	completamente
00010466-r	0	0	em cheio
00010466-r	0	0	plenamente
00010726-a	0	0	voraz
00011011-r	0.125	0.125	apenas
00011011-r	0.125	0.125	somente
00011516-r	0	0.75	fracamente
00011516-r	0	0.75	pobremente
00011757-a	0	0	abstrato
00012267-v	0	0	adquirir
00012267-v	0	0	conquistar
00012267-v	0	0	fazer
00012362-a	0.375	0.25	conceitual
00012362-a	0.375	0.25	conceptual
00012362-a	0.375	0.25	concetual
00012613-v	0	0	endurecer
00012613-v	0	0	esfriar
00012689-a	0	0	ideal
00012779-r	0.125	0	bem
00012854-v	0	0	romantizar
00012932-a	0.125	0.125	ideológico
00013160-a	0.625	0.25	concreto
00013328-v	0	0	brincar
00013328-v	0	0	jogar
00013429-r	0	0	bem
00013615-v	0	0	simular
00013662-a	0	0	tangível
00013887-a	0	0.25	abundante
00013887-a	0	0.25	bastante
00013887-a	0	0.25	basto
00013887-a	0	0.25	copioso
00013887-a	0	0.25	farto
00013887-a	0	0.25	lauto
00014034-v	0	0.125	estremecer
00014034-v	0	0.125	sacudir
00014034-v	0	0.125	tremer
00014201-v	0	0	tiritar
00014201-v	0	0	tremelicar
00014201-v	0	0	tremer
00014285-r	0.125	0	consideravelmente
00014285-r	0.125	0	substancialmente
00014405-v	0	0	cochilar
00014405-v	0	0	descansar
00014405-v	0	0	dormir
